    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
   61   100.0%  37.8  0.00016  0.000304   0.02   0.000403    0.040%
   62   100.0%  37.7  0.00016  0.000383   0.02   0.000403    0.040%
   63   100.0%  37.7  0.00016   0.00037   0.03   0.000402    0.040%
   64   100.0%  37.3   0.0002  0.000758   0.03   0.000408    0.041%
   65   100.0%  37.4   0.0002   0.00054   0.03   0.000410    0.041%
   66   100.0%  37.6  0.00016  0.000372   0.03   0.000409    0.041%
   67   100.0%  37.3   0.0002  0.000764   0.03   0.000415    0.041%
   68   100.0%  37.5  0.00016  0.000555   0.03   0.000417    0.042%
   69   100.0%  37.7  0.00016  0.000359   0.03   0.000416    0.042%
   70   100.0%  37.6  0.00016  0.000391   0.03   0.000416    0.042%
   71   100.0%  37.8  0.00016  0.000324   0.03   0.000414    0.041%
   72   100.0%  37.8  0.00016  0.000263   0.03   0.000412    0.041%
   73   100.0%  37.5   0.0002  0.000427   0.03   0.000412    0.041%
   74   100.0%  37.6  0.00016  0.000378   0.03   0.000412    0.041%
   75   100.0%  37.6  0.00016  0.000352   0.03   0.000411    0.041%
   76   100.0%  37.6  0.00016  0.000361   0.03   0.000411    0.041%
   77   100.0%  37.0   0.0002   0.00124   0.03   0.000421    0.042%
   78   100.0%  36.9   0.0002   0.00144   0.03   0.000434    0.043%
   79   100.0%  37.5  0.00016  0.000427   0.03   0.000434    0.043%
   80   100.0%  37.4   0.0002  0.000658   0.03   0.000437    0.044%
   81   100.0%  37.1   0.0002  0.000769   0.04   0.000441    0.044%
   82   100.0%  37.6  0.00016  0.000332   0.04   0.000440    0.044%
   83   100.0%  37.4   0.0002  0.000639   0.04   0.000442    0.044%
   84   100.0%  37.7  0.00016  0.000325   0.04   0.000441    0.044%
   85   100.0%  37.5   0.0002  0.000579   0.04   0.000442    0.044%
   86   100.0%  37.5  0.00016  0.000564   0.04   0.000444    0.044%
   87   100.0%  37.0   0.0002   0.00137   0.04   0.000454    0.045%
   88   100.0%  36.9   0.0002   0.00165   0.04   0.000468    0.047%
   89   100.0%  36.9   0.0002    0.0018   0.04   0.000483    0.048%
   90   100.0%  37.1   0.0002   0.00083   0.04   0.000487    0.049%
   91   100.0%  36.9   0.0002   0.00146   0.05   0.000498    0.050%
   92   100.0%  36.8   0.0002   0.00139   0.05   0.000507    0.051%
   93   100.0%  37.4   0.0002  0.000523   0.05   0.000507    0.051%
   94   100.0%  37.3   0.0002  0.000736   0.05   0.000510    0.051%
   95   100.0%  37.3   0.0002   0.00094   0.05   0.000514    0.051%
   96   100.0%  36.9   0.0002   0.00134   0.05   0.000523    0.052%
   97   100.0%  36.7   0.0002   0.00174   0.05   0.000536    0.054%
   98   100.0%  36.8   0.0002   0.00129   0.05   0.000543    0.054%
   99   100.0%  36.6   0.0002   0.00212   0.06   0.000559    0.056%
  100   100.0%  36.6   0.0002   0.00212   0.06   0.000575    0.057%
  101   100.0%  37.2   0.0002  0.000695   0.06   0.000576    0.058%
  102   100.0%  36.9   0.0002   0.00154   0.06   0.000586    0.059%
  103   100.0%  37.4   0.0002  0.000494   0.06   0.000585    0.058%
  104   100.0%  36.7   0.0002   0.00165   0.06   0.000595    0.059%
  105   100.0%  36.5  0.00025   0.00194   0.06   0.000608    0.061%
  106   100.0%  36.2  0.00025    0.0027   0.07   0.000627    0.063%
  107   100.0%  36.6   0.0002   0.00202   0.07   0.000641    0.064%
  108   100.0%  37.2   0.0002  0.000704   0.07   0.000641    0.064%
  109   100.0%  36.4  0.00025   0.00217   0.07   0.000655    0.066%
  110   100.0%  36.1  0.00025   0.00327   0.07   0.000679    0.068%
  111   100.0%  36.5  0.00025   0.00222   0.08   0.000693    0.069%
  112   100.0%  36.5   0.0002   0.00201   0.08   0.000705    0.070%
  113   100.0%  36.4  0.00025   0.00278   0.08   0.000723    0.072%
  114   100.0%  37.0   0.0002   0.00111   0.08   0.000726    0.073%
  115   100.0%  36.7   0.0002   0.00174   0.08   0.000735    0.074%
  116   100.0%  36.2  0.00025   0.00255   0.09   0.000751    0.075%
  117   100.0%  37.2   0.0002  0.000635   0.09   0.000750    0.075%
  118   100.0%  36.1  0.00025   0.00273   0.09   0.000767    0.077%
  119   100.0%  37.1   0.0002  0.000841   0.09   0.000767    0.077%
  120   100.0%  36.4  0.00025   0.00263   0.09   0.000783    0.078%
  121   100.0%  36.3  0.00025    0.0021   0.10   0.000794    0.079%
  122   100.0%  36.1  0.00025   0.00251   0.10   0.000808    0.081%
  123   100.0%  36.1  0.00025   0.00279   0.10   0.000824    0.082%
  124   100.0%  36.5  0.00025   0.00215   0.10   0.000835    0.083%
  125   100.0%  36.3  0.00025   0.00252   0.11   0.000848    0.085%
  126   100.0%  36.3  0.00025   0.00243   0.11   0.000861    0.086%
  127   100.0%  36.4  0.00025    0.0023   0.11   0.000872    0.087%
  128   100.0%  36.7   0.0002    0.0016   0.11   0.000878    0.088%
  129   100.0%  35.9  0.00025   0.00293   0.12   0.000894    0.089%
  130   100.0%  36.3  0.00025    0.0019   0.12   0.000901    0.090%
  131   100.0%  36.3  0.00025   0.00232   0.12   0.000912    0.091%
  132   100.0%  36.2  0.00025   0.00225   0.12   0.000922    0.092%
  133   100.0%  36.5   0.0002   0.00172   0.12   0.000928    0.093%
  134   100.0%  37.0   0.0002    0.0011   0.12   0.000930    0.093%
  135   100.0%  36.5  0.00025   0.00199   0.13   0.000937    0.094%
  136   100.0%  36.6   0.0002   0.00186   0.13   0.000944    0.094%
  137   100.0%  37.0   0.0002  0.000933   0.13   0.000944    0.094%
  138   100.0%  36.6   0.0002   0.00208   0.13   0.000952    0.095%
  139   100.0%  36.6   0.0002   0.00197   0.13   0.000960    0.096%
  140   100.0%  36.6   0.0002   0.00194   0.14   0.000967    0.097%
  141   100.0%  36.5  0.00025   0.00206   0.14   0.000974    0.097%
  142   100.0%  36.8   0.0002   0.00138   0.14   0.000977    0.098%
  143   100.0%  36.4  0.00025   0.00222   0.14   0.000986    0.099%
  144   100.0%  36.2  0.00025   0.00257   0.14   0.000997    0.100%
  145   100.0%  36.4  0.00025   0.00227   0.15   0.001006    0.101%
  146   100.0%  36.1  0.00025   0.00289   0.15   0.001018    0.102%
  147   100.0%  36.3  0.00025   0.00231   0.15   0.001027    0.103%
  148   100.0%  36.1  0.00025   0.00277   0.15   0.001039    0.104%
  149   100.0%  36.2  0.00025   0.00257   0.16   0.001049    0.105%
  150   100.0%  36.6   0.0002   0.00166   0.16   0.001053    0.105%
  151   100.0%  36.4  0.00025   0.00217   0.16   0.001061    0.106%
  152   100.0%  36.1  0.00025   0.00257   0.16   0.001071    0.107%
  153   100.0%  36.2  0.00025   0.00275   0.17   0.001082    0.108%
  154   100.0%  36.4  0.00025   0.00216   0.17   0.001089    0.109%
  155   100.0%  35.8  0.00025   0.00341   0.17   0.001104    0.110%
  156   100.0%  35.9  0.00025   0.00296   0.17   0.001116    0.112%
  157   100.0%  36.0  0.00025   0.00286   0.18   0.001127    0.113%
  158   100.0%  36.2  0.00025   0.00229   0.18   0.001134    0.113%
  159   100.0%  35.9  0.00025   0.00296   0.18   0.001146    0.115%
  160   100.0%  36.1  0.00025   0.00244   0.18   0.001154    0.115%
  161   100.0%  36.0  0.00025   0.00288   0.19   0.001164    0.116%
  162   100.0%  36.0  0.00025   0.00293   0.19   0.001175    0.118%
  163   100.0%  36.2  0.00025   0.00257   0.19   0.001184    0.118%
  164   100.0%  36.0  0.00025   0.00277   0.20   0.001193    0.119%
  165   100.0%  36.3  0.00025   0.00232   0.20   0.001200    0.120%
  166   100.0%  35.8  0.00025   0.00311   0.20   0.001212    0.121%
  167   100.0%  35.6  0.00025   0.00357   0.20   0.001226    0.123%
  168   100.0%  35.9  0.00025   0.00304   0.21   0.001237    0.124%
  169   100.0%  35.7  0.00025   0.00332   0.21   0.001249    0.125%
  170   100.0%  35.9  0.00025   0.00331   0.21   0.001261    0.126%
  171   100.0%  35.5  0.00025   0.00387   0.22   0.001276    0.128%
  172   100.0%  35.7  0.00025   0.00317   0.22   0.001287    0.129%
  173   100.0%  35.7  0.00025   0.00322   0.22   0.001299    0.130%
  174   100.0%  36.1  0.00025   0.00267   0.23   0.001306    0.131%
  175   100.0%  36.1  0.00025    0.0027   0.23   0.001314    0.131%
  176   100.0%  35.9  0.00025   0.00309   0.23   0.001325    0.132%
  177   100.0%  35.2  0.00032   0.00433   0.24   0.001342    0.134%
  178   100.0%  35.5  0.00025   0.00353   0.24   0.001354    0.135%
  179   100.0%  35.1  0.00032   0.00425   0.25   0.001370    0.137%
