    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
   62   100.0%  34.6  0.00032   0.00588   0.19   0.003115    0.312%
   63   100.0%  34.6  0.00032   0.00567   0.20   0.003156    0.316%
   64   100.0%  34.0   0.0004   0.00712   0.21   0.003218    0.322%
   65   100.0%  35.0  0.00032    0.0049   0.21   0.003244    0.324%
   66   100.0%  34.9  0.00032   0.00491   0.22   0.003269    0.327%
   67   100.0%  34.2   0.0004   0.00673   0.22   0.003321    0.332%
   68   100.0%  34.9  0.00032   0.00509   0.23   0.003346    0.335%
   69   100.0%  34.1   0.0004    0.0067   0.23   0.003395    0.340%
   70   100.0%  34.3   0.0004   0.00641   0.24   0.003438    0.344%
   71   100.0%  34.1   0.0004    0.0069   0.25   0.003487    0.349%
   72   100.0%  33.7   0.0004   0.00754   0.26   0.003543    0.354%
   73   100.0%  34.0   0.0004   0.00696   0.26   0.003590    0.359%
   74   100.0%  34.1   0.0004   0.00659   0.27   0.003631    0.363%
   75   100.0%  34.3   0.0004   0.00637   0.28   0.003667    0.367%
   76   100.0%  34.4   0.0004   0.00606   0.28   0.003699    0.370%
   77   100.0%  34.2   0.0004   0.00666   0.29   0.003737    0.374%
   78   100.0%  34.3   0.0004   0.00655   0.29   0.003773    0.377%
   79   100.0%  34.4   0.0004   0.00601   0.30   0.003801    0.380%
   80   100.0%  34.0   0.0004   0.00716   0.31   0.003843    0.384%
   81   100.0%  34.3   0.0004   0.00637   0.31   0.003875    0.387%
   82   100.0%  34.0   0.0004   0.00674   0.32   0.003910    0.391%
   83   100.0%  34.0   0.0004   0.00684   0.33   0.003945    0.394%
   84   100.0%  34.0   0.0004   0.00695   0.33   0.003981    0.398%
   85   100.0%  34.0   0.0004   0.00716   0.34   0.004018    0.402%
   86   100.0%  34.3   0.0004   0.00641   0.35   0.004046    0.405%
   87   100.0%  34.1   0.0004   0.00699   0.35   0.004080    0.408%
   88   100.0%  33.8   0.0004   0.00744   0.36   0.004118    0.412%
   89   100.0%  33.7   0.0004   0.00757   0.37   0.004157    0.416%
   90   100.0%  33.7   0.0004   0.00751   0.38   0.004194    0.419%
   91   100.0%  33.6   0.0004   0.00797   0.39   0.004235    0.424%
   92   100.0%  33.8   0.0004   0.00732   0.39   0.004269    0.427%
   93   100.0%  33.3   0.0005   0.00868   0.40   0.004316    0.432%
   94   100.0%  33.9   0.0004   0.00703   0.41   0.004345    0.435%
   95   100.0%  33.4   0.0005   0.00847   0.42   0.004389    0.439%
   96   100.0%  33.9   0.0004   0.00725   0.42   0.004419    0.442%
   97   100.0%  33.6   0.0004   0.00793   0.43   0.004455    0.445%
   98   100.0%  33.5   0.0005   0.00822   0.44   0.004493    0.449%
   99   100.0%  33.6   0.0004   0.00807   0.45   0.004529    0.453%
  100   100.0%  33.4   0.0005   0.00846   0.46   0.004569    0.457%
  101   100.0%  33.1   0.0005   0.00845   0.47   0.004607    0.461%
  102   100.0%  33.4   0.0005   0.00803   0.47   0.004641    0.464%
  103   100.0%  33.2   0.0005   0.00875   0.48   0.004680    0.468%
  104   100.0%  33.1   0.0005   0.00881   0.49   0.004720    0.472%
  105   100.0%  33.1   0.0005   0.00857   0.50   0.004757    0.476%
  106   100.0%  33.0   0.0005   0.00904   0.51   0.004797    0.480%
  107   100.0%  33.4   0.0005    0.0078   0.52   0.004825    0.483%
