    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
   62   100.0%  36.2  0.00025   0.00235   0.09   0.001468    0.147%
   63   100.0%  36.3  0.00025   0.00236   0.09   0.001482    0.148%
   64   100.0%  34.9  0.00032   0.00499   0.10   0.001537    0.154%
   65   100.0%  35.6  0.00025   0.00331   0.10   0.001564    0.156%
   66   100.0%  36.1  0.00025   0.00269   0.10   0.001581    0.158%
   67   100.0%  35.9  0.00025   0.00333   0.11   0.001607    0.161%
   68   100.0%  36.1  0.00025   0.00333   0.11   0.001632    0.163%
   69   100.0%  36.2  0.00025   0.00296   0.11   0.001652    0.165%
   70   100.0%  35.8  0.00025   0.00283   0.12   0.001669    0.167%
   71   100.0%  36.5  0.00025   0.00196   0.12   0.001673    0.167%
   72   100.0%  36.5   0.0002   0.00217   0.12   0.001680    0.168%
   73   100.0%  36.5   0.0002    0.0016   0.12   0.001678    0.168%
   74   100.0%  36.0  0.00025   0.00272   0.13   0.001693    0.169%
   75   100.0%  36.0  0.00025   0.00265   0.13   0.001705    0.171%
   76   100.0%  36.2  0.00025   0.00181   0.13   0.001707    0.171%
   77   100.0%  33.6   0.0004   0.00723   0.14   0.001778    0.178%
   78   100.0%  33.5   0.0005   0.00882   0.15   0.001869    0.187%
   79   100.0%  35.2  0.00032   0.00417   0.15   0.001898    0.190%
   80   100.0%  35.4  0.00032   0.00417   0.15   0.001926    0.193%
   81   100.0%  35.5  0.00025   0.00244   0.16   0.001932    0.193%
   82   100.0%  36.3  0.00025   0.00167   0.16   0.001929    0.193%
   83   100.0%  35.7  0.00025   0.00286   0.16   0.001941    0.194%
   84   100.0%  36.0  0.00025   0.00266   0.16   0.001949    0.195%
   85   100.0%  34.8  0.00032   0.00503   0.17   0.001985    0.199%
   86   100.0%  35.5  0.00025   0.00367   0.17   0.002005    0.200%
   87   100.0%  33.1   0.0005   0.00944   0.18   0.002090    0.209%
   88   100.0%  33.0   0.0005    0.0101   0.19   0.002181    0.218%
   89   100.0%  32.8   0.0005    0.0107   0.20   0.002277    0.228%
   90   100.0%  33.9   0.0004   0.00666   0.21   0.002325    0.233%
   91   100.0%  33.5   0.0005   0.00839   0.22   0.002392    0.239%
   92   100.0%  34.0   0.0004   0.00597   0.22   0.002431    0.243%
   93   100.0%  35.1  0.00032   0.00392   0.23   0.002447    0.245%
   94   100.0%  35.4  0.00032   0.00398   0.23   0.002464    0.246%
   95   100.0%  35.5  0.00025   0.00398   0.24   0.002479    0.248%
   96   100.0%  34.2   0.0004   0.00661   0.24   0.002522    0.252%
   97   100.0%  34.0   0.0004   0.00715   0.25   0.002570    0.257%
   98   100.0%  34.7  0.00032   0.00474   0.25   0.002592    0.259%
   99   100.0%  32.7   0.0005   0.00982   0.26   0.002665    0.267%
  100   100.0%  32.1  0.00063    0.0117   0.28   0.002756    0.276%
  101   100.0%  34.4   0.0004     0.004   0.28   0.002768    0.277%
  102   100.0%  33.2   0.0005   0.00885   0.29   0.002828    0.283%
  103   100.0%  35.1  0.00032   0.00325   0.29   0.002832    0.283%
  104   100.0%  33.4   0.0005   0.00857   0.30   0.002887    0.289%
  105   100.0%  33.8   0.0004   0.00806   0.31   0.002936    0.294%
  106   100.0%  33.7   0.0004   0.00764   0.32   0.002981    0.298%
  107   100.0%  33.7   0.0004   0.00815   0.32   0.003029    0.303%
  108   100.0%  34.7  0.00032   0.00411   0.33   0.003039    0.304%
  109   100.0%  33.8   0.0004   0.00781   0.34   0.003083    0.308%
  110   100.0%  34.4   0.0004   0.00591   0.34   0.003109    0.311%
  111   100.0%  34.0   0.0004   0.00757   0.35   0.003149    0.315%
  112   100.0%  35.2  0.00032   0.00333   0.35   0.003150    0.315%
  113   100.0%  33.8   0.0004   0.00766   0.36   0.003190    0.319%
  114   100.0%  34.3   0.0004   0.00583   0.37   0.003214    0.321%
  115   100.0%  33.5   0.0005   0.00774   0.37   0.003253    0.325%
  116   100.0%  32.3  0.00063    0.0103   0.38   0.003314    0.331%
  117   100.0%  34.8  0.00032   0.00345   0.39   0.003315    0.331%
  118   100.0%  32.7   0.0005   0.00975   0.40   0.003369    0.337%
  119   100.0%  34.3   0.0004   0.00534   0.40   0.003386    0.339%
  120   100.0%  34.7  0.00032   0.00457   0.41   0.003396    0.340%
  121   100.0%  33.6   0.0004   0.00794   0.42   0.003433    0.343%
  122   100.0%  33.0   0.0005    0.0097   0.43   0.003485    0.348%
  123   100.0%  33.3   0.0005   0.00871   0.43   0.003527    0.353%
  124   100.0%  33.5   0.0005   0.00836   0.44   0.003566    0.357%
  125   100.0%  33.1   0.0005   0.00903   0.45   0.003610    0.361%
  126   100.0%  33.3   0.0005   0.00849   0.46   0.003648    0.365%
  127   100.0%  33.1   0.0005   0.00886   0.47   0.003689    0.369%
  128   100.0%  33.8   0.0004   0.00677   0.48   0.003714    0.371%
  129   100.0%  32.5   0.0005   0.00996   0.49   0.003762    0.376%
  130   100.0%  33.9   0.0004   0.00545   0.49   0.003775    0.377%
  131   100.0%  32.3  0.00063    0.0111   0.50   0.003831    0.383%
  132   100.0%  32.9   0.0005   0.00827   0.51   0.003864    0.386%
  133   100.0%  33.8   0.0004   0.00675   0.52   0.003886    0.389%
  134   100.0%  33.9   0.0004    0.0067   0.52   0.003907    0.391%
  135   100.0%  32.6   0.0005   0.00948   0.53   0.003948    0.395%
  136   100.0%  32.3  0.00063    0.0102   0.54   0.003994    0.399%
  137   100.0%  33.1   0.0005   0.00834   0.55   0.004026    0.403%
  138   100.0%  32.8   0.0005   0.00906   0.56   0.004062    0.406%
  139   100.0%  31.9  0.00063    0.0116   0.57   0.004116    0.412%
  140   100.0%  31.7  0.00063    0.0119   0.58   0.004172    0.417%
  141   100.0%  31.9  0.00063    0.0112   0.60   0.004222    0.422%
  142   100.0%  31.1  0.00079    0.0129   0.61   0.004283    0.428%
  143   100.0%  31.2  0.00079    0.0131   0.62   0.004344    0.434%
  144   100.0%  31.5  0.00079    0.0123   0.63   0.004399    0.440%
  145   100.0%  31.7  0.00063    0.0117   0.65   0.004449    0.445%
  146   100.0%  31.4  0.00079    0.0129   0.66   0.004507    0.451%
  147   100.0%  31.7  0.00063    0.0118   0.67   0.004557    0.456%
  148   100.0%  31.7  0.00063    0.0121   0.68   0.004607    0.461%
  149   100.0%  31.4  0.00079     0.013   0.69   0.004664    0.466%
  150   100.0%  32.1  0.00063    0.0102   0.71   0.004701    0.470%
  151   100.0%  31.6  0.00063    0.0121   0.72   0.004750    0.475%
  152   100.0%  31.3  0.00079    0.0124   0.73   0.004800    0.480%
  153   100.0%  31.1  0.00079    0.0134   0.74   0.004856    0.486%
  154   100.0%  30.5  0.00079    0.0148   0.76   0.004921    0.492%
  155   100.0%  30.6  0.00079    0.0144   0.77   0.004982    0.498%
  156   100.0%  30.9  0.00079     0.014   0.79   0.005040    0.504%
  157   100.0%  30.8  0.00079     0.014   0.80   0.005097    0.510%
  158   100.0%  30.6  0.00079     0.015   0.82   0.005159    0.516%
  159   100.0%  30.8  0.00079    0.0142   0.83   0.005216    0.522%
  160   100.0%  30.6  0.00079    0.0143   0.84   0.005273    0.527%
  161   100.0%  30.4    0.001    0.0151   0.86   0.005334    0.533%
  162   100.0%  30.3    0.001    0.0155   0.87   0.005396    0.540%
  163   100.0%  30.3    0.001    0.0157   0.89   0.005459    0.546%
  164   100.0%  30.9  0.00079    0.0135   0.90   0.005508    0.551%
  165   100.0%  30.6  0.00079     0.015   0.92   0.005566    0.557%
  166   100.0%  30.7  0.00079    0.0146   0.93   0.005620    0.562%
  167   100.0%  30.7  0.00079    0.0144   0.95   0.005673    0.567%
  168   100.0%  30.9  0.00079    0.0136   0.96   0.005720    0.572%
  169   100.0%  30.6  0.00079    0.0147   0.98   0.005773    0.577%
  170   100.0%  30.5  0.00079    0.0148   0.99   0.005826    0.583%
  171   100.0%  29.9    0.001    0.0168   1.01   0.005890    0.589%
  172   100.0%  30.0    0.001    0.0163   1.02   0.005950    0.595%
  173   100.0%  30.0    0.001    0.0167   1.04   0.006012    0.601%
  174   100.0%  30.1    0.001    0.0158   1.06   0.006069    0.607%
  175   100.0%  30.4    0.001    0.0149   1.07   0.006119    0.612%
  176   100.0%  30.6  0.00079    0.0148   1.09   0.006168    0.617%
  177   100.0%  30.0    0.001    0.0166   1.10   0.006227    0.623%
  178   100.0%  30.0    0.001    0.0161   1.12   0.006282    0.628%
  179   100.0%  30.0    0.001    0.0163   1.13   0.006338    0.634%
  180   100.0%  30.0    0.001    0.0159   1.15   0.006391    0.639%
  181   100.0%  30.4    0.001    0.0148   1.17   0.006438    0.644%
  182   100.0%  30.0    0.001    0.0157   1.18   0.006489    0.649%
  183   100.0%  29.6    0.001     0.017   1.20   0.006546    0.655%
  184   100.0%  29.7    0.001     0.017   1.21   0.006603    0.660%
  185   100.0%  29.4   0.0013    0.0169   1.23   0.006659    0.666%
  186   100.0%  29.5   0.0013    0.0169   1.25   0.006714    0.671%
  187   100.0%  29.5    0.001    0.0166   1.27   0.006767    0.677%
  188   100.0%  29.1   0.0013    0.0176   1.28   0.006825    0.682%
  189   100.0%  28.9   0.0013    0.0187   1.30   0.006888    0.689%
  190   100.0%  28.9   0.0013    0.0179   1.32   0.006945    0.695%
  191   100.0%  29.2   0.0013    0.0175   1.34   0.007000    0.700%
  192   100.0%  28.8   0.0013    0.0194   1.36   0.007065    0.706%
  193   100.0%  28.7   0.0013    0.0193   1.38   0.007128    0.713%
  194   100.0%  28.9   0.0013    0.0185   1.39   0.007187    0.719%
  195   100.0%  27.9   0.0016    0.0216   1.42   0.007260    0.726%
  196   100.0%  28.0   0.0016    0.0218   1.44   0.007335    0.733%
  197   100.0%  26.8    0.002    0.0258   1.46   0.007428    0.743%
  198   100.0%  27.8   0.0016     0.021   1.48   0.007497    0.750%
  199   100.0%  27.7   0.0016    0.0219   1.51   0.007569    0.757%
  200   100.0%  27.5   0.0016     0.022   1.53   0.007641    0.764%
  201   100.0%  27.8   0.0016    0.0209   1.55   0.007707    0.771%
  202   100.0%  27.7   0.0016    0.0212   1.57   0.007774    0.777%
  203   100.0%  26.9    0.002    0.0236   1.59   0.007852    0.785%
  204   100.0%  27.2    0.002    0.0215   1.62   0.007919    0.792%
  205   100.0%  26.9    0.002    0.0231   1.64   0.007993    0.799%
  206   100.0%  26.6    0.002    0.0253   1.66   0.008077    0.808%
  207   100.0%  26.2   0.0025    0.0263   1.69   0.008165    0.816%
  208   100.0%  27.0    0.002    0.0231   1.71   0.008237    0.824%
  209   100.0%  26.8    0.002    0.0243   1.74   0.008313    0.831%
  210   100.0%  27.2    0.002    0.0222   1.76   0.008380    0.838%
  211   100.0%  26.7    0.002    0.0244   1.78   0.008456    0.846%
  212   100.0%  26.4   0.0025    0.0252   1.81   0.008535    0.853%
  213   100.0%  26.3   0.0025    0.0252   1.83   0.008613    0.861%
  214   100.0%  26.4   0.0025    0.0246   1.86   0.008687    0.869%
  215   100.0%  26.6    0.002    0.0242   1.88   0.008760    0.876%
  216   100.0%  26.9    0.002     0.023   1.91   0.008826    0.883%
  217   100.0%  25.9   0.0025    0.0263   1.93   0.008906    0.891%
  218   100.0%  26.7    0.002    0.0232   1.96   0.008972    0.897%
  219   100.0%  26.4   0.0025    0.0242   1.98   0.009041    0.904%
  220   100.0%  25.8   0.0025    0.0265   2.01   0.009121    0.912%
  221   100.0%  26.0   0.0025    0.0247   2.03   0.009191    0.919%
  222   100.0%  26.0   0.0025    0.0258   2.06   0.009266    0.927%
  223   100.0%  25.5   0.0025    0.0292   2.09   0.009356    0.936%
  224   100.0%  26.1   0.0025    0.0249   2.11   0.009425    0.942%
  225   100.0%  26.0   0.0025    0.0256   2.14   0.009497    0.950%
  226   100.0%  25.5   0.0025     0.027   2.16   0.009574    0.957%
  227   100.0%  25.8   0.0025    0.0261   2.19   0.009647    0.965%
  228   100.0%  25.3   0.0032    0.0273   2.22   0.009724    0.972%
  229   100.0%  25.2   0.0032    0.0283   2.25   0.009805    0.981%
  230   100.0%  21.0   0.0079    0.0481   2.29   0.009972    0.997%
  231   100.0%  25.2   0.0032    0.0275   2.32   0.010048    1.005%
  232   100.0%  24.7   0.0032    0.0293   2.35   0.010131    1.013%
  233   100.0%  25.1   0.0032     0.028   2.38   0.010207    1.021%
  234   100.0%  25.1   0.0032    0.0272   2.41   0.010280    1.028%
  235   100.0%  23.1    0.005    0.0379   2.44   0.010397    1.040%
  236   100.0%  24.4    0.004    0.0305   2.47   0.010483    1.048%
  237   100.0%  24.6   0.0032    0.0301   2.50   0.010565    1.057%
  238   100.0%  23.4    0.005    0.0373   2.54   0.010678    1.068%
  239   100.0%  24.4    0.004    0.0311   2.57   0.010763    1.076%
  240   100.0%  21.5   0.0079    0.0456   2.62   0.010908    1.091%
  241   100.0%  22.8    0.005    0.0392   2.66   0.011026    1.103%
  242   100.0%  24.5    0.004    0.0294   2.69   0.011102    1.110%
  243   100.0%  24.2    0.004    0.0314   2.72   0.011185    1.119%
  244   100.0%  24.4    0.004    0.0307   2.75   0.011265    1.127%
  245   100.0%  24.6   0.0032    0.0303   2.78   0.011343    1.134%
  246   100.0%  23.3    0.005    0.0376   2.82   0.011450    1.145%
  247   100.0%  22.6    0.005    0.0407   2.86   0.011568    1.157%
  248   100.0%  19.6     0.01    0.0543   2.91   0.011740    1.174%
  249   100.0%  20.9   0.0079    0.0484   2.96   0.011888    1.189%
  250   100.0%  22.9    0.005    0.0386   3.00   0.011994    1.199%
  251   100.0%  23.4    0.005    0.0345   3.03   0.012084    1.208%
  252   100.0%  22.9    0.005    0.0377   3.07   0.012186    1.219%
  253   100.0%  21.2   0.0079    0.0457   3.12   0.012318    1.232%
  254   100.0%  22.8    0.005    0.0364   3.15   0.012413    1.241%
  255   100.0%  23.8    0.004    0.0321   3.18   0.012490    1.249%
  256   100.0%  22.8    0.005    0.0378   3.22   0.012589    1.259%
  257   100.0%  23.0    0.005    0.0353   3.26   0.012677    1.268%
  258   100.0%  22.6    0.005    0.0391   3.30   0.012780    1.278%
  259   100.0%  19.2    0.013    0.0574   3.35   0.012952    1.295%
  260   100.0%  21.0   0.0079    0.0469   3.40   0.013083    1.308%
  261   100.0%  21.6   0.0063     0.043   3.44   0.013197    1.320%
  262   100.0%  19.3    0.013    0.0567   3.50   0.013363    1.336%
  263   100.0%  20.1     0.01    0.0505   3.55   0.013504    1.350%
  264   100.0%  21.7   0.0063    0.0414   3.59   0.013610    1.361%
  265   100.0%  23.1    0.005    0.0339   3.63   0.013687    1.369%
  266   100.0%  22.5   0.0063    0.0376   3.66   0.013777    1.378%
  267   100.0%  20.9   0.0079    0.0459   3.71   0.013897    1.390%
  268   100.0%  20.2     0.01      0.05   3.76   0.014032    1.403%
  269   100.0%  17.9    0.016    0.0644   3.82   0.014219    1.422%
  270   100.0%  17.8    0.016    0.0642   3.89   0.014404    1.440%
  271   100.0%  17.2     0.02    0.0695   3.96   0.014607    1.461%
  272   100.0%  17.4     0.02    0.0682   4.03   0.014804    1.480%
  273   100.0%  17.5    0.016    0.0666   4.09   0.014994    1.499%
  274   100.0%  18.2    0.016    0.0609   4.15   0.015162    1.516%
  275   100.0%  18.7    0.013    0.0568   4.21   0.015313    1.531%
  276   100.0%  17.8    0.016    0.0632   4.27   0.015487    1.549%
  277   100.0%  20.5     0.01    0.0441   4.32   0.015590    1.559%
  278   100.0%  20.4     0.01    0.0452   4.36   0.015696    1.570%
  279   100.0%  20.6   0.0079    0.0434   4.41   0.015796    1.580%
  280   100.0%  19.2    0.013    0.0541   4.46   0.015933    1.593%
  281   100.0%  16.6     0.02    0.0734   4.53   0.016137    1.614%
  282   100.0%  16.0    0.025    0.0764   4.61   0.016351    1.635%
